plant_name,province,capacity_mw,units,start_year
Gangnan,Hebei,11,1,1968
Miyun,Beijing,22,2,1975
Panjiakou,Hebei,270,3,1992
Cuntangkou,Sichuan,2,2,1992
No.1 Guangzhou,Guangdong,1200,4,1994
Shisanling,Beijing,800,4,1997
Yangzhuoyong Lake,Tibet,90,4,1997
Xikou,Zhejiang,80,2,1998
Tianhuangping,Zhejiang,1800,6,2000
No.2 Guangzhou,Guangdong,1200,4,2000
Xianghongdian,Anhui,80,2,2000
Tiantang,Hubei,70,2,2001
Shahe,Jiangsu,100,2,2002
Tongbai,Zhejiang,1200,4,2006
Baishan,Jilin,300,2,2006
Huilong,Henan,120,2,2005
Taian,Shandong,1000,4,2007
Langya Mountain,Anhui,600,4,2007
Yixing,Jiangsu,1000,4,2008
Xilongchi,Shanxi,1200,4,2008
Zhanghewan,Hebei,1000,4,2008
Huizhou,Guangdong,2400,8,2009
Pushihe,Liaoning,1200,4,2010
