Province,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Beijing,0.104631218,0.082332762,0.075471698,0.063464837,0.069468268,0.081475129,0.097770154,0.089193825,0.075471698,0.066895369,0.086620926,0.107204117
Tianjin,0.091116173,0.070615034,0.080865604,0.072892938,0.077448747,0.082004556,0.096810934,0.087699317,0.079726651,0.076309795,0.086560364,0.097949886
Hebei,0.089517385,0.069538142,0.079657499,0.078360145,0.080435911,0.085625324,0.093149974,0.089257914,0.078360145,0.074208614,0.082511676,0.09937727
Shanxi,0.091954023,0.076038904,0.081343943,0.079575597,0.08178603,0.082670203,0.08709107,0.082670203,0.07648099,0.078691424,0.086206897,0.095490716
East_Inner_Mongolia,0.083766767,0.075006844,0.082671777,0.080208048,0.081029291,0.080208048,0.08458801,0.086230495,0.083766767,0.085409253,0.086230495,0.090884205
West_Inner_Mongolia,0.083766767,0.075006844,0.082671777,0.080208048,0.081029291,0.080208048,0.08458801,0.086230495,0.083766767,0.085409253,0.086230495,0.090884205
Jilin,0.090833333,0.074583333,0.08625,0.07875,0.079583333,0.0775,0.085833333,0.08375,0.077916667,0.08125,0.0875,0.09625
Liaoning,0.093589744,0.078205128,0.083333333,0.078205128,0.078205128,0.075641026,0.083333333,0.080769231,0.075641026,0.080769231,0.091025641,0.101282051
Heilongjiang,0.091365462,0.077309237,0.084337349,0.081325301,0.081325301,0.076305221,0.080321285,0.077309237,0.074297189,0.084337349,0.091365462,0.100401606
Shanghai,0.09502551,0.073979592,0.080994898,0.070790816,0.071428571,0.077806122,0.098852041,0.108418367,0.084183673,0.074617347,0.072704082,0.09119898
Jiangsu,0.088747007,0.067198723,0.08188348,0.075977654,0.077094972,0.08028731,0.09688747,0.099281724,0.083160415,0.079010375,0.080127694,0.090343176
Zhejiang,0.081172971,0.05439864,0.083510412,0.079685508,0.07841054,0.081172971,0.095410115,0.102422439,0.087760306,0.08159796,0.081810455,0.092647684
Anhui,0.091699261,0.073880921,0.077357671,0.07257714,0.075619296,0.081703607,0.099521947,0.099956541,0.080399826,0.077357671,0.078661452,0.091264668
Fujian,0.075385256,0.055810079,0.077467722,0.079966681,0.080799667,0.086630571,0.098708871,0.102040816,0.092877968,0.085797584,0.080383174,0.084131612
Jiangxi,0.084690554,0.067100977,0.07752443,0.073615635,0.075570033,0.079478827,0.091205212,0.104885993,0.087296417,0.085993485,0.080130293,0.092508143
Shandong,0.086509085,0.0723589,0.078630005,0.079433993,0.07959479,0.087313073,0.094388165,0.087313073,0.080398778,0.079273195,0.083453932,0.091333012
Henan,0.093963723,0.078203985,0.079988106,0.073743681,0.078501338,0.088016652,0.104965804,0.095747844,0.074635742,0.071662206,0.073743681,0.086827238
Hubei,0.089923181,0.07184817,0.076818798,0.07275192,0.075915047,0.082241301,0.098056936,0.107998192,0.085856304,0.073655671,0.075915047,0.089019431
Hunan,0.09178744,0.077294686,0.077831455,0.071390231,0.069243156,0.079441761,0.090177134,0.102522813,0.089640365,0.074610843,0.079978529,0.096081589
Guangdong,0.067791548,0.04793191,0.076900105,0.079139913,0.086008661,0.094370614,0.104375093,0.10347917,0.094519934,0.087800508,0.07839331,0.079289234
Guangxi,0.081236897,0.0639413,0.076519916,0.07442348,0.080712788,0.083333333,0.089098532,0.094339623,0.089622642,0.086477987,0.085429769,0.094863732
Hainan,0.073446328,0.062146893,0.079096045,0.084745763,0.09039548,0.096045198,0.098870056,0.09039548,0.084745763,0.084745763,0.076271186,0.079096045
Chongqing,0.083548665,0.066322136,0.075796727,0.075796727,0.07751938,0.079242033,0.093023256,0.110249785,0.084409991,0.081826012,0.080103359,0.092161929
Sichuan,0.089563567,0.070208729,0.074762808,0.077419355,0.078178368,0.084250474,0.084629981,0.0971537,0.092220114,0.080834915,0.083491461,0.087286528
Guizhou,0.08825438,0.076573653,0.086956522,0.077222583,0.081116158,0.081116158,0.075275795,0.078520441,0.077222583,0.077871512,0.086307592,0.113562622
Yunnan,0.086140254,0.054113749,0.077305356,0.076753175,0.077857537,0.081170624,0.086140254,0.090005522,0.091662065,0.092214246,0.091662065,0.094975152
Tibet,0.101265823,0.063291139,0.075949367,0.075949367,0.075949367,0.075949367,0.075949367,0.075949367,0.075949367,0.088607595,0.088607595,0.126582278
Shaanxi,0.096793349,0.07719715,0.081947743,0.075415677,0.07304038,0.076603325,0.084916865,0.087292162,0.077790974,0.082541568,0.087292162,0.099168646
Gansu,0.087732919,0.073757764,0.081521739,0.079192547,0.078416149,0.079968944,0.083074534,0.083850932,0.080745342,0.084627329,0.092391304,0.094720497
Qinghai,0.086471409,0.080892608,0.075313808,0.082287308,0.082287308,0.083682008,0.078103208,0.082287308,0.086471409,0.083682008,0.089260809,0.089260809
Ningxia,0.084870849,0.070110701,0.086715867,0.082103321,0.08302583,0.085793358,0.085793358,0.086715867,0.084870849,0.08302583,0.082103321,0.084870849
Xinjiang,0.084917617,0.076045627,0.08069286,0.07773553,0.07773553,0.079847909,0.085762569,0.087874947,0.078580482,0.082805239,0.084495142,0.103506548
