gen_info_scenario_id,project_id,province_id,province_cn,province,technology_id,technology,location_id,ep_project_replacement_id,capacity_limit,capacity_limit_conversion,heat_rate,cogen_thermal_demand,connect_cost_per_mw,site_id
2,12941,27,新疆,Xinjiang,103,Coal_1000_DRY,0,0,0,0,8.3,0,300,
2,12931,27,新疆,Xinjiang,102,Coal_1000_RC,0,0,0,0,7.88,0,300,
2,12945,27,新疆,Xinjiang,303,Coal_300_DRY,0,0,0,0,9.37,0,300,
2,12935,27,新疆,Xinjiang,302,Coal_300_RC,0,0,0,0,8.92,0,300,
2,12943,27,新疆,Xinjiang,203,Coal_600_DRY,0,0,0,0,8.94,0,300,
2,12933,27,新疆,Xinjiang,202,Coal_600_RC,0,0,0,0,8.45,0,300,
2,12937,27,新疆,Xinjiang,601,Coal_IGCC_RC,0,0,0,0,8.89,0,300,
2,12939,27,新疆,Xinjiang,802,Gas_CCGT_RC,0,0,0,0,7.02,0,300,
2,12395,2,河南,Henan,103,Coal_1000_DRY,0,0,0,0,8.3,0,300,
2,12385,2,河南,Henan,102,Coal_1000_RC,0,0,0,0,7.88,0,300,
2,12399,2,河南,Henan,303,Coal_300_DRY,0,0,0,0,9.37,0,300,
2,12389,2,河南,Henan,302,Coal_300_RC,0,0,0,0,8.92,0,300,
2,12397,2,河南,Henan,203,Coal_600_DRY,0,0,0,0,8.94,0,300,
2,12387,2,河南,Henan,202,Coal_600_RC,0,0,0,0,8.45,0,300,
2,12391,2,河南,Henan,601,Coal_IGCC_RC,0,0,0,0,8.89,0,300,
2,12393,2,河南,Henan,802,Gas_CCGT_RC,0,0,0,0,7.02,0,300,
2,11184,15,山东,Shandong,25,Battery_Storage,0,0,0,0,0,0,3000,
2,1078,9,江苏,Jiangsu,20,Wind,0,0,2916.666667,0,0,0,3000,
2,1079,9,江苏,Jiangsu,20,Wind,0,0,2916.666667,0,0,0,3000,
2,1080,9,江苏,Jiangsu,20,Wind,0,0,2916.666667,0,0,0,3000,
2,1084,9,江苏,Jiangsu,20,Wind,0,0,2916.666667,0,0,0,3000,
2,566,18,蒙西,West_Inner_Mongolia,17,Central_PV,1392508946,0,632533.3333,0,0,0,3000,
2,12731,30,贵州,Guizhou,302,Coal_300_RC,0,0,0,0,8.92,0,300,
2,12741,30,贵州,Guizhou,302,Coal_300_RC,0,0,0,0,8.92,0,300,
2,12751,30,贵州,Guizhou,302,Coal_300_RC,0,0,0,0,8.92,0,300,
2,12761,30,贵州,Guizhou,302,Coal_300_RC,0,0,0,0,8.92,0,300,
2,13125,8,福建,Fujian,901,Nuclear_SEA,0,0,0,0,10.4,0,300,
2,13176,11,浙江,Zhejiang,901,Nuclear_SEA,0,0,0,0,10.4,0,300,
2,13346,22,辽宁,Liaoning,901,Nuclear_SEA,0,0,0,0,10.4,0,300,
2,565,18,蒙西,West_Inner_Mongolia,17,Central_PV,1392508946,0,632533.3333,0,0,0,3000,
2,11192,23,甘肃,Gansu,25,Battery_Storage,0,0,0,0,0,0,3000,
2,12845,23,甘肃,Gansu,103,Coal_1000_DRY,0,0,0,0,8.3,0,300,
2,12861,23,甘肃,Gansu,103,Coal_1000_DRY,0,0,0,0,8.3,0,300,
2,12877,23,甘肃,Gansu,103,Coal_1000_DRY,0,0,0,0,8.3,0,300,
2,12893,23,甘肃,Gansu,103,Coal_1000_DRY,0,0,0,0,8.3,0,300,
2,12843,23,甘肃,Gansu,802,Gas_CCGT_RC,0,0,0,0,7.02,0,300,
2,12859,23,甘肃,Gansu,802,Gas_CCGT_RC,0,0,0,0,7.02,0,300,
2,12875,23,甘肃,Gansu,802,Gas_CCGT_RC,0,0,0,0,7.02,0,300,
2,1085,9,江苏,Jiangsu,20,Wind,0,0,2916.666667,0,0,0,3000,
2,1088,9,江苏,Jiangsu,20,Wind,0,0,2916.666667,0,0,0,3000,
2,599,23,甘肃,Gansu,17,Central_PV,1392508951,0,410222.2222,0,0,0,3000,
2,557,23,甘肃,Gansu,17,Central_PV,1392508951,0,410222.2222,0,0,0,3000,
2,556,23,甘肃,Gansu,17,Central_PV,1392508951,0,410222.2222,0,0,0,3000,
2,597,28,广东,Guangdong,17,Central_PV,1392508956,0,80375,0,0,0,3000,
2,422,28,广东,Guangdong,17,Central_PV,1392508956,0,80375,0,0,0,3000,
2,421,28,广东,Guangdong,17,Central_PV,1392508956,0,80375,0,0,0,3000,
2,12891,23,甘肃,Gansu,802,Gas_CCGT_RC,0,0,0,0,7.02,0,300,
2,13499,31,海南,Hainan,901,Nuclear_SEA,0,0,0,0,10.4,0,300,
2,13225,15,山东,Shandong,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13242,16,山西,Shanxi,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13480,30,贵州,Guizhou,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13106,7,安徽,Anhui,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13004,1,重庆,Chongqing,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13293,19,蒙东,East_Inner_Mongolia,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13361,23,甘肃,Gansu,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13446,28,广东,Guangdong,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,13497,31,海南,Hainan,85,Nuclear_SMR,0,0,0,0,10.4,0,300,
2,12135,8,福建,Fujian,102,Coal_1000_RC,0,0,0,0,7.88,0,300,
