GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Anhui-Battery_Storage-11177,2023,1485958,13421,0
Anhui-Battery_Storage-11177,2028,1346607,12162,0
Anhui-Battery_Storage-11177,2033,1328640,12000,0
Anhui-Battery_Storage-11177,2038,1328640,12000,0
Anhui-Battery_Storage-11177,2043,1328640,12000,0
Anhui-Battery_Storage-11177,2048,1328640,12000,0
Anhui-Central_PV-401,2023,1200000,12000,.
Anhui-Central_PV-401,2028,1200000,12000,.
Anhui-Central_PV-401,2033,1200000,12000,.
Anhui-Central_PV-401,2038,1200000,12000,.
Anhui-Central_PV-401,2043,1200000,12000,.
Anhui-Central_PV-401,2048,1200000,12000,.
Anhui-Central_PV-402,2023,1200000,12000,.
Anhui-Central_PV-402,2028,1200000,12000,.
Anhui-Central_PV-402,2033,1200000,12000,.
Anhui-Central_PV-402,2038,1200000,12000,.
Anhui-Central_PV-402,2043,1200000,12000,.
Anhui-Central_PV-402,2048,1200000,12000,.
Anhui-Central_PV-403,2023,1200000,12000,.
Anhui-Central_PV-403,2028,1200000,12000,.
Anhui-Central_PV-403,2033,1200000,12000,.
Anhui-Central_PV-403,2038,1200000,12000,.
Anhui-Central_PV-403,2043,1200000,12000,.
Anhui-Central_PV-403,2048,1200000,12000,.
Anhui-Central_PV-404,2023,1200000,12000,.
Anhui-Central_PV-404,2028,1200000,12000,.
Anhui-Central_PV-404,2033,1200000,12000,.
Anhui-Central_PV-404,2038,1200000,12000,.
Anhui-Central_PV-404,2043,1200000,12000,.
Anhui-Central_PV-404,2048,1200000,12000,.
Anhui-Central_PV_EP-ep-50012,2012,1439448,28789,.
Anhui-Central_PV_EP-ep-50026,2013,1439448,28789,.
Anhui-Central_PV_EP-ep-50053,2014,1439448,28789,.
Anhui-Central_PV_EP-ep-50083,2015,1439448,28789,.
Anhui-Central_PV_EP-ep-50112,2016,1439448,28789,.
Anhui-Central_PV_EP-ep-50143,2017,1439448,28789,.
Anhui-Central_PV_EP-ep-50173,2011,1439448,28789,.
