LOAD_ZONE,zone_ccs_distance_km,zone_dbid,existing_local_td,local_td_annual_cost_per_mw,existing_tx_sunk_annual_payment,existing_local_td_sunk_annual_payment,zone_balancing_area
Chongqing,100.0,1,12088.9136545,60000.0,187800000.0,626000000.0,Central_China
Henan,100.0,2,46689.3139905,60000.0,706200000.0,2354000000.0,Central_China
Hubei,100.0,3,25555.4519035,60000.0,399000000.0,1330000000.0,Central_China
Hunan,100.0,4,22120.1958695,60000.0,351600000.0,1172000000.0,Central_China
Jiangxi,100.0,5,12895.3412875,60000.0,210300000.0,701000000.0,Central_China
Sichuan,100.0,6,29093.2835215,60000.0,464700000.0,1549000000.0,Central_China
Anhui,100.0,7,21049.584774,60000.0,323400000.0,1078000000.0,East_China
Fujian,100.0,8,25838.373397,60000.0,394500000.0,1315000000.0,East_China
Jiangsu,100.0,9,73733.332978,60000.0,1159200000.0,3864000000.0,East_China
Shanghai,61.50386204,10,24118.8640605,60000.0,388800000.0,1296000000.0,East_China
Zhejiang,100.0,11,54382.2871755,60000.0,846300000.0,2821000000.0,East_China
Beijing,100.0,13,14459.5064275,60000.0,243000000.0,810000000.0,North_China
Hebei,100.0,14,54474.5480645,60000.0,807600000.0,2692000000.0,North_China
Shandong,100.0,15,65272.0518195,60000.0,989400000.0,3298000000.0,North_China
Shanxi,100.0,16,31028.5072015,60000.0,438000000.0,1460000000.0,North_China
Tianjin,100.0,17,12524.1364905,60000.0,193800000.0,646000000.0,North_China
West_Inner_Mongolia,100.0,18,22732.537048,60000.0,322800000.0,1076000000.0,North_China
East_Inner_Mongolia,100.0,19,9121.16814515,60000.0,138300000.0,461000000.0,North_East_Grid
Heilongjiang,100.0,20,14064.1572425,60000.0,224400000.0,748000000.0,North_East_Grid
Jilin,100.0,21,11023.04783045,60000.0,173100000.0,577000000.0,North_East_Grid
Liaoning,100.0,22,32854.194428,60000.0,514500000.0,1715000000.0,North_East_Grid
Gansu,100.0,23,15203.109917,60000.0,241200000.0,804000000.0,North_West_Grid
Ningxia,100.0,24,10562.7935091,60000.0,164100000.0,547000000.0,North_West_Grid
Qinghai,100.0,25,8648.39376,60000.0,139500000.0,465000000.0,North_West_Grid
Shaanxi,100.0,26,16383.0228545,60000.0,257700000.0,859000000.0,North_West_Grid
Xinjiang,100.0,27,13853.261146,60000.0,198600000.0,662000000.0,North_West_Grid
Guangdong,100.0,28,76631.3155325,60000.0,1218000000.0,4060000000.0,Southern_Power
Guangxi,100.0,29,20108.0774855,60000.0,297900000.0,993000000.0,Southern_Power
Guizhou,100.0,30,16263.3292215,60000.0,250500000.0,835000000.0,Southern_Power
Hainan,100.0,31,3263.1365276,60000.0,47700000.0,159000000.0,Southern_Power
Yunnan,100.0,32,19464.258875,60000.0,301200000.0,1004000000.0,Southern_Power
Tibet,654.47423,34,417.683252315,60000.0,6000000.0,20000000.0,Tibet
