load_zone,TIMEPOINT,zone_demand_mw
Anhui,2025.01.22.00,26686.3437216117
Beijing,2025.01.22.00,13821.3058951078
Chongqing,2025.01.22.00,16578.3402406925
East_Inner_Mongolia,2025.01.22.00,10271.9639745685
Fujian,2025.01.22.00,26389.3626725232
Gansu,2025.01.22.00,18869.163218949
Guangdong,2025.01.22.00,63680.349508522
Guangxi,2025.01.22.00,22030.4405049474
Guizhou,2025.01.22.00,18478.5989080607
Hainan,2025.01.22.00,4250.28448159577
Hebei,2025.01.22.00,75231.4092468281
Heilongjiang,2025.01.22.00,14660.9775177872
Henan,2025.01.22.00,61296.8099787539
Hubei,2025.01.22.00,34178.9138691013
Hunan,2025.01.22.00,33331.8054395625
Jiangsu,2025.01.22.00,81638.1711360816
Jiangxi,2025.01.22.00,15331.6745517958
Jilin,2025.01.22.00,12615.2563877182
Liaoning,2025.01.22.00,42546.2226817465
Ningxia,2025.01.22.00,13288.8168462337
Qinghai,2025.01.22.00,10023.6947026579
Shaanxi,2025.01.22.00,23678.278508593
Shandong,2025.01.22.00,76995.0727847645
Shanghai,2025.01.22.00,25812.4260259899
Shanxi,2025.01.22.00,39416.5638389789
Sichuan,2025.01.22.00,35258.497230838
Tianjin,2025.01.22.00,13617.9239740677
Tibet,2025.01.22.00,737.68203536886
West_Inner_Mongolia,2025.01.22.00,29649.3369931717
Xinjiang,2025.01.22.00,20900.7159975447
Yunnan,2025.01.22.00,21209.5470784012
Zhejiang,2025.01.22.00,53402.7448201187
Anhui,2025.01.22.04,22886.0690335709
Beijing,2025.01.22.04,12070.8499583101
Chongqing,2025.01.22.04,13370.8635377752
East_Inner_Mongolia,2025.01.22.04,9915.88549941953
Fujian,2025.01.22.04,23940.2786759126
Gansu,2025.01.22.04,17938.3267899171
Guangdong,2025.01.22.04,55444.4725188261
Guangxi,2025.01.22.04,18765.5870082219
Guizhou,2025.01.22.04,16218.1742551233
Hainan,2025.01.22.04,3520.05211439523
Hebei,2025.01.22.04,65520.0178931411
Heilongjiang,2025.01.22.04,14070.2880176847
Henan,2025.01.22.04,55079.329379801
Hubei,2025.01.22.04,30834.6390558566
Hunan,2025.01.22.04,25561.3205871661
Jiangsu,2025.01.22.04,75081.3567344842
Jiangxi,2025.01.22.04,13797.6408354984
Jilin,2025.01.22.04,11906.7972751725
Liaoning,2025.01.22.04,39468.8972889955
Ningxia,2025.01.22.04,12813.0560736173
Qinghai,2025.01.22.04,9866.7438780036
Shaanxi,2025.01.22.04,19875.7216982115
Shandong,2025.01.22.04,70339.7260963119
Shanghai,2025.01.22.04,22475.602521593
Shanxi,2025.01.22.04,37351.9472097604
Sichuan,2025.01.22.04,29325.5212679621
Tianjin,2025.01.22.04,12957.8260540569
Tibet,2025.01.22.04,625.478858597231
West_Inner_Mongolia,2025.01.22.04,28734.8166167118
Xinjiang,2025.01.22.04,19789.1118607617
Yunnan,2025.01.22.04,19359.916465962
Zhejiang,2025.01.22.04,46599.9204671272
Anhui,2025.01.22.08,24080.9310511817
Beijing,2025.01.22.08,16366.0759274511
Chongqing,2025.01.22.08,13863.9961214328
East_Inner_Mongolia,2025.01.22.08,11374.3125073558
Fujian,2025.01.22.08,24950.6593451096
Gansu,2025.01.22.08,19544.0118848852
Guangdong,2025.01.22.08,61039.7728747142
Guangxi,2025.01.22.08,21286.3894415819
Guizhou,2025.01.22.08,21478.2159147983
Hainan,2025.01.22.08,3726.39115249157
Hebei,2025.01.22.08,76712.0125264366
Heilongjiang,2025.01.22.08,18270.1652494006
Henan,2025.01.22.08,56914.9075420627
Hubei,2025.01.22.08,30988.792175971
Hunan,2025.01.22.08,27404.8689513638
Jiangsu,2025.01.22.08,82359.0754177818
Jiangxi,2025.01.22.08,13812.1904923279
Jilin,2025.01.22.08,15217.876372922
Liaoning,2025.01.22.08,42591.1715055375
Ningxia,2025.01.22.08,12873.1204186263
Qinghai,2025.01.22.08,10077.4222424172
Shaanxi,2025.01.22.08,21461.7772834896
Shandong,2025.01.22.08,76798.1977990172
Shanghai,2025.01.22.08,28146.4632403253
Shanxi,2025.01.22.08,39609.249293272
Sichuan,2025.01.22.08,30412.9533016759
Tianjin,2025.01.22.08,17568.0516365892
Tibet,2025.01.22.08,759.133986025706
West_Inner_Mongolia,2025.01.22.08,29734.7406650794
Xinjiang,2025.01.22.08,20269.7512763472
Yunnan,2025.01.22.08,23219.9361047124
Zhejiang,2025.01.22.08,58813.9765865356
Anhui,2025.01.22.12,28458.3607328437
Beijing,2025.01.22.12,20472.1249136983
Chongqing,2025.01.22.12,17377.8380998608
East_Inner_Mongolia,2025.01.22.12,11939.1447132419
Fujian,2025.01.22.12,29816.9709243477
Gansu,2025.01.22.12,20773.0009913255
Guangdong,2025.01.22.12,71131.4801673816
Guangxi,2025.01.22.12,25822.9886577709
