PLANNING_RESERVE_REQUIREMENTS,LOAD_ZONE
Tibet_1.15peak,Tibet
Shanxi_1.15peak,Shanxi
West_Inner_Mongolia_1.15peak,West_Inner_Mongolia
Anhui_1.15peak,Anhui
Jiangxi_1.15peak,Jiangxi
Henan_1.15peak,Henan
Hubei_1.15peak,Hubei
Hunan_1.15peak,Hunan
East_Inner_Mongolia_1.15peak,East_Inner_Mongolia
Jilin_1.15peak,Jilin
Heilongjiang_1.15peak,Heilongjiang
Beijing_1.15peak,Beijing
Sichuan_1.15peak,Sichuan
Guizhou_1.15peak,Guizhou
Yunnan_1.15peak,Yunnan
Shaanxi_1.15peak,Shaanxi
Gansu_1.15peak,Gansu
Qinghai_1.15peak,Qinghai
Ningxia_1.15peak,Ningxia
Xinjiang_1.15peak,Xinjiang
Chongqing_1.15peak,Chongqing
Shanghai_1.15peak,Shanghai
Tianjin_1.15peak,Tianjin
Jiangsu_1.15peak,Jiangsu
Zhejiang_1.15peak,Zhejiang
Hebei_1.15peak,Hebei
Fujian_1.15peak,Fujian
Shandong_1.15peak,Shandong
Liaoning_1.15peak,Liaoning
Guangdong_1.15peak,Guangdong
Guangxi_1.15peak,Guangxi
Hainan_1.15peak,Hainan
