timepoint_id,timestamp,timeseries
2025.01.22.00,2025-01-22_00:00,2025.01.22
2025.01.22.04,2025-01-22_04:00,2025.01.22
2025.01.22.08,2025-01-22_08:00,2025.01.22
2025.01.22.12,2025-01-22_12:00,2025.01.22
2025.01.22.16,2025-01-22_16:00,2025.01.22
2025.01.22.20,2025-01-22_20:00,2025.01.22
2025.02.08.00,2025-02-08_00:00,2025.02.08
2025.02.08.04,2025-02-08_04:00,2025.02.08
2025.02.08.08,2025-02-08_08:00,2025.02.08
2025.02.08.12,2025-02-08_12:00,2025.02.08
2025.02.08.16,2025-02-08_16:00,2025.02.08
2025.02.08.20,2025-02-08_20:00,2025.02.08
2025.03.21.00,2025-03-21_00:00,2025.03.21
2025.03.21.04,2025-03-21_04:00,2025.03.21
2025.03.21.08,2025-03-21_08:00,2025.03.21
2025.03.21.12,2025-03-21_12:00,2025.03.21
2025.03.21.16,2025-03-21_16:00,2025.03.21
2025.03.21.20,2025-03-21_20:00,2025.03.21
2025.04.11.00,2025-04-11_00:00,2025.04.11
2025.04.11.04,2025-04-11_04:00,2025.04.11
2025.04.11.08,2025-04-11_08:00,2025.04.11
2025.04.11.12,2025-04-11_12:00,2025.04.11
2025.04.11.16,2025-04-11_16:00,2025.04.11
2025.04.11.20,2025-04-11_20:00,2025.04.11
2025.05.22.00,2025-05-22_00:00,2025.05.22
2025.05.22.04,2025-05-22_04:00,2025.05.22
2025.05.22.08,2025-05-22_08:00,2025.05.22
2025.05.22.12,2025-05-22_12:00,2025.05.22
2025.05.22.16,2025-05-22_16:00,2025.05.22
2025.05.22.20,2025-05-22_20:00,2025.05.22
2025.06.16.00,2025-06-16_00:00,2025.06.16
2025.06.16.04,2025-06-16_04:00,2025.06.16
2025.06.16.08,2025-06-16_08:00,2025.06.16
2025.06.16.12,2025-06-16_12:00,2025.06.16
2025.06.16.16,2025-06-16_16:00,2025.06.16
2025.06.16.20,2025-06-16_20:00,2025.06.16
2025.07.22.00,2025-07-22_00:00,2025.07.22
2025.07.22.04,2025-07-22_04:00,2025.07.22
2025.07.22.08,2025-07-22_08:00,2025.07.22
2025.07.22.12,2025-07-22_12:00,2025.07.22
2025.07.22.16,2025-07-22_16:00,2025.07.22
2025.07.22.20,2025-07-22_20:00,2025.07.22
2025.08.19.00,2025-08-19_00:00,2025.08.19
2025.08.19.04,2025-08-19_04:00,2025.08.19
2025.08.19.08,2025-08-19_08:00,2025.08.19
2025.08.19.12,2025-08-19_12:00,2025.08.19
2025.08.19.16,2025-08-19_16:00,2025.08.19
2025.08.19.20,2025-08-19_20:00,2025.08.19
2025.09.20.00,2025-09-20_00:00,2025.09.20
2025.09.20.04,2025-09-20_04:00,2025.09.20
2025.09.20.08,2025-09-20_08:00,2025.09.20
2025.09.20.12,2025-09-20_12:00,2025.09.20
2025.09.20.16,2025-09-20_16:00,2025.09.20
2025.09.20.20,2025-09-20_20:00,2025.09.20
2025.10.26.00,2025-10-26_00:00,2025.10.26
2025.10.26.04,2025-10-26_04:00,2025.10.26
2025.10.26.08,2025-10-26_08:00,2025.10.26
2025.10.26.12,2025-10-26_12:00,2025.10.26
2025.10.26.16,2025-10-26_16:00,2025.10.26
2025.10.26.20,2025-10-26_20:00,2025.10.26
2025.11.19.00,2025-11-19_00:00,2025.11.19
2025.11.19.04,2025-11-19_04:00,2025.11.19
2025.11.19.08,2025-11-19_08:00,2025.11.19
