regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
Anhui,2023,0,15.6264331817627,1000000000.0
Anhui,2028,0,16.9608615875244,1000000000.0
Anhui,2033,0,18.1819072723389,1000000000.0
Anhui,2038,0,19.1470512390137,1000000000.0
Anhui,2043,0,20.3330612182617,1000000000.0
Anhui,2048,0,21.5190696716309,1000000000.0
Beijing,2023,0,15.6264331817627,716331382.0
Beijing,2028,0,16.9608615875244,716331382.0
Beijing,2033,0,18.1819072723389,716331382.0
Beijing,2038,0,19.1470512390137,716331382.0
Beijing,2043,0,20.3330612182617,716331382.0
Beijing,2048,0,21.5190696716309,716331382.0
Chongqing,2023,0,15.6264331817627,80367744.0
Chongqing,2028,0,16.9608615875244,80367744.0
Chongqing,2033,0,18.1819072723389,80367744.0
Chongqing,2038,0,19.1470512390137,80367744.0
Chongqing,2043,0,20.3330612182617,80367744.0
Chongqing,2048,0,21.5190696716309,80367744.0
East_Inner_Mongolia,2023,0,15.6264331817627,1000000000.0
East_Inner_Mongolia,2028,0,16.9608615875244,1000000000.0
East_Inner_Mongolia,2033,0,18.1819072723389,1000000000.0
East_Inner_Mongolia,2038,0,19.1470512390137,1000000000.0
East_Inner_Mongolia,2043,0,20.3330612182617,1000000000.0
East_Inner_Mongolia,2048,0,21.5190696716309,1000000000.0
Fujian,2023,0,15.6264331817627,526389168.0
Fujian,2028,0,16.9608615875244,526389168.0
Fujian,2033,0,18.1819072723389,526389168.0
Fujian,2038,0,19.1470512390137,526389168.0
Fujian,2043,0,20.3330612182617,526389168.0
Fujian,2048,0,21.5190696716309,526389168.0
Gansu,2023,0,15.6264331817627,1000000000.0
Gansu,2028,0,16.9608615875244,1000000000.0
Gansu,2033,0,18.1819072723389,1000000000.0
Gansu,2038,0,19.1470512390137,1000000000.0
Gansu,2043,0,20.3330612182617,1000000000.0
Gansu,2048,0,21.5190696716309,1000000000.0
Guangdong,2023,0,15.6264331817627,1382956232.0
Guangdong,2028,0,16.9608615875244,1438913994.0
Guangdong,2033,0,18.1819072723389,1438914010.0
Guangdong,2038,0,19.1470512390137,1438914010.0
