TRANSMISSION_LINE,trans_dbid,trans_lz_send,trans_lz_receive,trans_length_km,trans_efficiency,existing_trans_cap,trans_new_build_allowed
Anhui-Hebei,172,Anhui,Hebei,732.678,0.954473,0.0,True
Anhui-Henan,1,Anhui,Henan,465.819,0.971055,0.0,True
Anhui-Hubei,2,Anhui,Hubei,318.212,0.980227,0.0,True
Anhui-Jiangsu,3,Anhui,Jiangsu,142.72,0.991132,7500.0,True
Anhui-Jiangxi,4,Anhui,Jiangxi,378.223,0.976498,0.0,True
Anhui-Shandong,5,Anhui,Shandong,534.737,0.966773,0.0,True
Anhui-Zhejiang,6,Anhui,Zhejiang,327.053,0.979678,2500.0,True
Beijing-East_Inner_Mongolia,179,Beijing,East_Inner_Mongolia,856.281,0.946793,0.0,True
Beijing-Hebei,7,Beijing,Hebei,265.22,0.98352,16500.0,True
Beijing-Tianjin,8,Beijing,Tianjin,112.881,0.992986,7500.0,True
Chongqing-Guizhou,9,Chongqing,Guizhou,332.092,0.979365,0.0,True
Chongqing-Hebei,10,Chongqing,Hebei,1196.49,0.925654,4000.0,True
Chongqing-Hubei,11,Chongqing,Hubei,757.077,0.952957,2500.0,True
Chongqing-Hunan,12,Chongqing,Hunan,647.775,0.959749,2500.0,True
Chongqing-Shaanxi,13,Chongqing,Shaanxi,571.365,0.964497,0.0,True
Chongqing-Sichuan,14,Chongqing,Sichuan,263.831,0.983606,2500.0,True
East_Inner_Mongolia-Beijing,15,East_Inner_Mongolia,Beijing,856.281,0.946793,5000.0,True
East_Inner_Mongolia-Hebei,16,East_Inner_Mongolia,Hebei,1111.45,0.930938,4000.0,True
East_Inner_Mongolia-Heilongjiang,17,East_Inner_Mongolia,Heilongjiang,504.876,0.968628,2500.0,True
East_Inner_Mongolia-Jiangsu,18,East_Inner_Mongolia,Jiangsu,1675.78,0.895872,7200.0,True
East_Inner_Mongolia-Jilin,19,East_Inner_Mongolia,Jilin,524.246,0.967425,2500.0,True
East_Inner_Mongolia-Liaoning,20,East_Inner_Mongolia,Liaoning,634.827,0.960554,6500.0,True
East_Inner_Mongolia-Shandong,21,East_Inner_Mongolia,Shandong,1189.06,0.926115,14400.0,True
East_Inner_Mongolia-Tianjin,22,East_Inner_Mongolia,Tianjin,918.685,0.942916,4000.0,True
East_Inner_Mongolia-West_Inner_Mongolia,23,East_Inner_Mongolia,West_Inner_Mongolia,981.676,0.939001,0.0,True
Fujian-Guangdong,24,Fujian,Guangdong,693.238,0.956924,6000.0,True
Fujian-Jiangxi,25,Fujian,Jiangxi,442.654,0.972495,0.0,True
Fujian-Zhejiang,26,Fujian,Zhejiang,473.207,0.970596,2500.0,True
Gansu-Jiangsu,27,Gansu,Jiangsu,1452.51,0.909745,7200.0,True
Gansu-Ningxia,28,Gansu,Ningxia,347.844,0.978386,2500.0,True
Gansu-Qinghai,29,Gansu,Qinghai,185.81,0.988454,2500.0,True
Gansu-Shaanxi,30,Gansu,Shaanxi,513.414,0.968098,2500.0,True
Gansu-Sichuan,31,Gansu,Sichuan,602.017,0.962592,0.0,True
Gansu-West_Inner_Mongolia,32,Gansu,West_Inner_Mongolia,867.854,0.946074,0.0,True
Gansu-Xinjiang,33,Gansu,Xinjiang,1618.11,0.899455,2500.0,True
Guangdong-Fujian,34,Guangdong,Fujian,693.238,0.956924,0.0,True
Guangdong-Guangxi,35,Guangdong,Guangxi,507.929,0.968439,2500.0,True
Guangdong-Hunan,37,Guangdong,Hunan,565.78,0.964844,0.0,True
Guangdong-Jiangxi,38,Guangdong,Jiangxi,671.852,0.958253,0.0,True
Guangdong-Sichuan,175,Guangdong,Sichuan,1236.78,0.92315,0.0,True
Guangdong-Yunnan,177,Guangdong,Yunnan,1092.54,0.932113,2500.0,True
Guangxi-Guangdong,39,Guangxi,Guangdong,507.929,0.968439,2500.0,True
Guangxi-Guizhou,40,Guangxi,Guizhou,449.322,0.97208,2500.0,True
Guangxi-Hunan,41,Guangxi,Hunan,760.987,0.952715,0.0,True
Guangxi-Yunnan,42,Guangxi,Yunnan,621.764,0.961365,2500.0,True
Guizhou-Chongqing,43,Guizhou,Chongqing,332.092,0.979365,0.0,True
Guizhou-Guangxi,44,Guizhou,Guangxi,449.322,0.97208,2500.0,True
Guizhou-Hunan,45,Guizhou,Hunan,644.732,0.959938,0.0,True
Guizhou-Jiangsu,46,Guizhou,Jiangsu,1316.98,0.918167,7200.0,True
Guizhou-Sichuan,47,Guizhou,Sichuan,521.604,0.967589,0.0,True
Guizhou-Yunnan,48,Guizhou,Yunnan,435.779,0.972922,2500.0,True
Hebei-Anhui,49,Hebei,Anhui,732.678,0.954473,4000.0,True
Hebei-Beijing,50,Hebei,Beijing,265.22,0.98352,6500.0,True
Hebei-Chongqing,181,Hebei,Chongqing,1196.49,0.925654,0.0,True
Hebei-East_Inner_Mongolia,51,Hebei,East_Inner_Mongolia,1111.45,0.930938,0.0,True
Hebei-Henan,52,Hebei,Henan,373.259,0.976807,4000.0,True
Hebei-Liaoning,53,Hebei,Liaoning,867.054,0.946124,0.0,True
Hebei-Shandong,54,Hebei,Shandong,270.032,0.983221,2500.0,True
Hebei-Shanxi,55,Hebei,Shanxi,169.474,0.989469,2500.0,True
Hebei-Tianjin,56,Hebei,Tianjin,264.963,0.983536,2500.0,True
Hebei-West_Inner_Mongolia,57,Hebei,West_Inner_Mongolia,392.627,0.975603,2500.0,True
Heilongjiang-East_Inner_Mongolia,58,Heilongjiang,East_Inner_Mongolia,504.876,0.968628,2500.0,True
Heilongjiang-Jilin,59,Heilongjiang,Jilin,230.727,0.985663,2500.0,True
Henan-Anhui,60,Henan,Anhui,465.819,0.971055,0.0,True
Henan-Hebei,61,Henan,Hebei,373.259,0.976807,0.0,True
